Nhãn dự đoán,Nhãn
Bồ câu,Bồ câu
Bồ câu,Bồ câu
Bồ câu,Bồ câu
Bồ câu,Bồ câu
Bồ câu,Bồ câu
Bồ câu,Bồ câu
Bồ câu,Bồ câu
Bồ câu,Bồ câu
Chào mào,Chào mào
Chào mào,Chào mào
Chào mào,Chào mào
Chào mào,Chào mào
Chào mào,Chào mào
Chào mào,Chào mào
Chào mào,Chào mào
Chào mào,Chào mào
Chào mào,Chào mào
Chào mào,Chào mào
Chào mào,Chào mào
Chào mào,Chào mào
Chìa vôi,Chìa vôi
Chìa vôi,Chìa vôi
Chìa vôi,Chìa vôi
Chìa vôi,Chìa vôi
Chìa vôi,Chìa vôi
Chích choè,Chích choè
Không xác định,Chích choè
Sẻ,Chích choè
Chích choè,Chích choè
Chích choè,Chích choè
Chích choè,Chích choè
Chích choè,Chích choè
Bìm bịp,Bìm bịp
Bìm bịp,Bìm bịp
Bìm bịp,Bìm bịp
Bìm bịp,Bìm bịp
Sẻ,Bìm bịp
Sẻ,Bìm bịp
Cuốc,Cuốc
Cuốc,Cuốc
Cuốc,Cuốc
Cuốc,Cuốc
Cuốc,Cuốc
Không xác định,Cuốc
Không xác định,Cuốc
Không xác định,Sáo
Không xác định,Sáo
Không xác định,Sáo
Không xác định,Sáo
Sáo,Sáo
Sáo,Sáo
Sáo,Sáo
Sẻ,Sẻ
Sẻ,Sẻ
Sẻ,Sẻ
Sẻ,Sẻ
Sẻ,Sẻ
Sẻ,Sẻ
Sẻ,Sẻ
Sẻ,Sẻ
Không xác định,Cu gáy
Không xác định,Cu gáy
Cú,Cú
Cú,Cú
Cú,Cú
Hoạ mi,Hoạ mi
Hoạ mi,Hoạ mi
Hoạ mi,Hoạ mi
Hoạ mi,Hoạ mi
Hoạ mi,Hoạ mi
Hoạ mi,Hoạ mi
Hoạ mi,Hoạ mi
Hoạ mi,Hoạ mi
Hoạ mi,Hoạ mi
Hoạ mi,Hoạ mi
Hoạ mi,Hoạ mi
Không xác định,Không xác định
Không xác định,Không xác định
Không xác định,Không xác định
Hoạ mi,Không xác định
Không xác định,Không xác định
Không xác định,Không xác định
Cú,Không xác định
Chích choè,Không xác định
Chích choè,Không xác định
Chích choè,Không xác định
Không xác định,Không xác định
Không xác định,Không xác định
Không xác định,Không xác định
Không xác định,Không xác định
